时间,分类,图题,图文,标题,地图,作者,来源,经度,纬度,所在府县
1674,区域地图,楷书,楷书,《沂州总图》,,,《沂州志》,118.340,35.060,沂州
1675,区域地图,楷书,楷书,《宿松县图》,,,《安庆府志》,116.120,30.150,宿松县
1678,区域地图,楷书,楷书,《莱阳县治图》,,,《莱阳县志》,120.710,36.970,莱阳县
1680,区域地图,楷书,楷书,《仙居县境图（一）》,,,《仙居县志》,120.730,28.850,仙居县
1683,区域地图,楷书,楷书,《瑞州府图》,,,《江西通志》,115.370,28.410,瑞州府
1683,区域地图,,楷书,《太平县境图（四）》,,,《太平县志》,118.000,30.290,太平县
1683,区域地图,楷书,楷书,《临江府图》,,,《江西通志》,115.540,28.050,临江府
1683,区域地图,楷书,楷书,《饶州府图》,,,《江西通志》,116.690,28.990,饶州府
1683,区域地图,楷书,楷书,《鄱阳县舆地图》,,,《鄱阳县志》,116.690,28.990,鄱阳县
1683,区域地图,,楷书,《鄱阳县图》,,,《饶州府志》,116.690,28.990,鄱阳县
1683,区域地图,,楷书,《乐平县境图》,,,《饶州府志》,117.120,28.960,乐平县
1683,区域地图,,楷书,《浮梁县图》,,,《饶州府志》,117.210,29.350,浮梁县
1683,区域地图,楷书,楷书,《南康府图》,,,《江西通志》,116.040,29.440,南康府
1683,区域地图,楷书,楷书,《吉安府图》,,,《江西通志》,114.980,27.110,吉安府
1683,区域地图,楷书,楷书,《南安府图》,,,《江西通志》,114.360,25.390,南安府
1683,城市地图,楷书,楷书,《桐城城内外街道图》,,,《桐城续修县志》,116.950,30.940,桐城县
1684,区域地图,楷书,楷书,《台州府图》,,,《浙江通志》,121.144,28.880,台州府
1684,区域地图,楷书,楷书,《绍兴府八县总图》,,,《浙江通志》,120.580,30.002,绍兴府
1684,区域地图,楷书,楷书,《宁波府图》,,,《浙江通志》,121.549,29.868,宁波府
1684,区域地图,楷书,楷书,《含山县山川图考》,,,《含山县志》,118.100,31.740,含山县
1685,区域地图,,楷书,《蒙阴县境图》,,,《蒙阴县志》,117.940,35.710,蒙阴县
1686,区域地图,楷书,楷书,《东平州图》,,,《兖州府志》,116.270,35.930,东平州
1691,区域地图,楷书,楷书,《诏安县境总图（二）》,,,《诏安县志》,117.170,23.710,诏安县
1691,城市地图,楷书,楷书,《诏安县城池之图》,,,《诏安县志》,117.170,23.710,诏安县
1693,区域地图,,楷书,《蒲台县境图》,,,《蒲台县志》,118.040,37.250,蒲台县
1693,区域地图,楷书,楷书,《休宁县隅都图》,,,《休宁县志》,118.180,29.780,休宁县
1695,城市地图,楷书,楷书,《宜兴县城图》,,,《常州府志》,119.820,31.360,宜兴县
1699,城市地图,楷书,楷书,《歙县治城垣图》,,,《徽州府志》,118.430,29.860,歙县
1699,城市地图,楷书,楷书,《休宁县治城垣图》,,,《徽州府志》,118.180,29.780,休宁县
1699,区域地图,楷书,楷书,《祁门县图》,,,《徽州府志》,117.710,29.850,祁门县
1699,区域地图,楷书,楷书,《黟县图》,,,《徽州府志》,117.930,29.920,黟县
1700,区域地图,楷书,楷书,《松溪县疆域图》,,,《松溪县志》,118.780,27.520,松溪县
1708,区域地图,楷书,楷书,《钜野县图》,,,《巨野县志》,116.090,35.390,钜野县
1709,区域地图,楷书,楷书,《沂水县境图》,,,《青州府志》,118.630,35.790,沂水县
1710,区域地图,楷书,楷书,《南安郡境图》,,,《南安府志》,114.360,25.390,南安府
1710,城市地图,楷书,楷书,《南安郡治图》,,,《南安府志》,114.360,25.390,南安府
1711,城市地图,,楷书,《堂邑县城池图》,,,《堂邑县志》（光绪十八年重刊）,115.985,36.456,堂邑县
1715,区域地图,楷书,楷书,《定海县大展岙图》,,,《定海县志》,122.100,30.010,定海县
1715,区域地图,楷书,楷书,《长山县幅员图》,,,《长山县志》,117.750,36.870,长山县
1716,区域地图,楷书,楷书,《阳谷县四境图》,,,《阳谷县志》,115.780,36.110,阳谷县
1717,区域地图,,楷书,《莘县总图》,,,《莘县志》,115.670,36.230,莘县
1717,区域地图,楷书,楷书,《诸罗县山后图（一）》,,,《诸罗县志》,120.440,23.480,诸罗县
1722,区域地图,楷书,楷书,《宁海县治图》,,,《台州府志》,121.420,29.280,宁海县
1722,城市地图,楷书,楷书,《台州府治图临海附郭》,,,《台州府志》,121.144,28.880,台州府
1722,区域地图,楷书,楷书,《台州府境总图》,,,《台州府志》,121.144,28.880,台州府
1729,区域地图,,楷书,《泰顺县境之图》,,,《泰顺县志》,119.710,27.550,泰顺县
1729,区域地图,楷书,楷书,《宁波府境图》,,,《宁波府志》（道光二十六年重刊）,121.549,29.868,宁波府
1730,区域地图,楷书,楷书,《慈谿县境图（一）》,,,《慈谿县志》,121.260,30.170,慈谿县
1731,区域地图,楷书,楷书,《江南十六府八州分界图》,,,《老地图|南京旧影》,118.796,32.060,江南
1733,区域地图,楷书,楷书,《处州府城图》,,,《处州府志》,119.920,28.450,处州府
1733,区域地图,楷书,楷书,《处州府境总图》,,,《处州府志》,119.920,28.450,处州府
1733,区域地图,,楷书,《乐安县城图》,,,《乐安县志》,115.830,27.430,乐安县
1736,区域地图,楷书,楷书,《山东全省图》,,,《山东通志》,117.120,36.651,山东省
1736,区域地图,楷书,楷书,《馆陶县境图》,,,《馆陶县志》（光绪十九年重刊）,115.280,36.530,馆陶县
1736,区域地图,楷书,楷书,《淮安府统六县图》,,,《江南通志》,119.010,33.610,淮安府
1736,区域地图,楷书,楷书,《宁国府统六县图》,,,《江南通志》,118.750,30.950,宁国府
1736,区域地图,楷书,楷书,《凤阳府统二州七县图》,,,《江南通志》,117.550,32.860,凤阳府
1736,区域地图,楷书,楷书,《颍州府统一州五县图》,,,《江南通志》,115.810,32.890,颍州府
1737,区域地图,楷书,楷书,《台湾府四县图》,,,《福建通志》,120.200,23.000,台湾府
1737,区域地图,楷书,楷书,《福建全省地图》,,,《福建通志》,119.300,26.080,福建省
1737,城市地图,楷书,楷书,《福州府城池图》,,,《福建通志》,119.290,26.070,福州府
1737,城市地图,楷书,楷书,《永春州城池图》,,,《福建通志》,118.290,25.320,永春州
1737,区域地图,楷书,楷书,《延平府六县图》,,,《福建通志》,118.170,26.630,延平府
1740,区域地图,楷书,楷书,《胶州图》,,,《莱州府志》,120.000,36.280,胶州
1742,城市地图,,楷书,《威海卫城图》,,,《威海卫志》（民国十八年重刊）,122.110,37.510,威海卫
1742,区域地图,楷书,楷书,《昌邑县境图》,,,《昌邑县志》,119.390,36.850,昌邑县
1742,区域地图,楷书,楷书,《昌邑县城图》,,,《昌邑县志》,119.390,36.850,昌邑县
1742,区域地图,楷书,楷书,《澎湖图》,,,《重修福建台湾府志》,119.570,23.560,澎湖
1743,区域地图,,楷书,《淄川县幅员图》,,,《淄川县志》,117.960,36.640,淄川县
1746,区域地图,楷书,楷书,《旧吴江县全境图》,,,《震泽县志》,120.640,31.150,吴江县
1747,区域地图,楷书,楷书,《台湾县图》,,,《台湾府志》,120.200,23.000,台湾县
1747,区域地图,楷书,楷书,《诸罗县图》,,,《台湾府志》,120.440,23.480,诸罗县
1747,区域地图,楷书,楷书,《澎湖厅图》,,,《台湾府志》,119.570,23.560,澎湖厅
1747,区域地图,楷书,楷书,《福清县方括图》,,,《福清县志》,119.370,25.720,福清县
1747,区域地图,楷书,楷书,《福清县海坛图》,,,《福清县志》,119.370,25.720,福清县
1748,区域地图,,楷书,《安东县图》,,,《淮安府志》,119.320,33.990,安东县
1748,区域地图,,楷书,《桃源县图》,,,《淮安府志》,118.500,33.260,桃源县
1751,区域地图,,楷书,《萧山县境之图》,,,《萧山县志》,120.250,30.160,萧山县
1751,区域地图,楷书,楷书,《古田县境全图》,,,《古田县志》,118.740,26.570,古田县
1752,区域地图,楷书,楷书,《镇海县境图》,,,《镇海县志》,121.620,29.950,镇海县
1752,区域地图,楷书,楷书,《胶州舆图》,,,《胶州志》,120.000,36.280,胶州
1752,区域地图,,楷书,《定陶县境图（一）》,,,《定陶县志》（民国五年续刊）,115.570,35.070,定陶县
1752,城市地图,楷书,楷书,《台湾县城池图》,,,《重修台湾县志》,120.200,23.000,台湾县
1752,区域地图,楷书,楷书,《亳州境图》,,,《颍州府志》,115.770,33.840,亳州
1752,区域地图,楷书,楷书,《汀州府属八县总图》,,,《汀州府志》,116.350,25.830,汀州府
1752,区域地图,,楷书,《汀州一府八县总图》,,,《汀州府志》,116.350,25.830,汀州府
1752,区域地图,楷书,楷书,《岩嶂合图》,,,《汀州府志》,116.350,25.830,汀州府
1754,区域地图,楷书,楷书,《高密县境全图》,,,《高密县志》,119.750,36.380,高密县
1754,城市地图,,楷书,《栖霞县城垣图》,,,《栖霞县志》,120.840,37.330,栖霞县
1754,城市地图,楷书,楷书,《福州府城图》,,,《福建通志》,119.290,26.070,福州府
1754,区域地图,楷书,楷书,《永福县疆域图》,,,《福州府志》,118.930,25.860,永福县
1755,区域地图,楷书,楷书,《黄县山川图》,,,《黄县志》,120.500,37.640,黄县
1756,区域地图,楷书,楷书,《彭泽县境全图》,,,《彭泽县志》,116.550,29.890,彭泽县
1756,城市地图,楷书,楷书,《彭泽县治图》,,,《彭泽县志》,116.550,29.890,彭泽县
1757,区域地图,楷书,楷书,《琉球国全图》,,,《中国古代海洋地图举要》,127.670,26.210,琉球国
1757,区域地图,楷书,楷书,《繁昌县新增总山图》,,,《太平府志》,118.190,31.080,繁昌县
1758,区域地图,楷书,楷书,《象山县境图》,,,《象山县志》,121.860,29.470,象山县
1759,区域地图,,楷书,《山东广舆图》,,,《广舆图》,117.120,36.651,山东省
1759,区域地图,,楷书,《阳信县疆域图（一）》,,,《阳信县志》,117.580,37.640,阳信县
1759,区域地图,楷书,楷书,《青城县治之图（二）》,,,《青城县志》（道光二十六年补刻）,117.820,37.170,青城县
1759,区域地图,楷书,楷书,《东乡舆图》,,,《建宁县志》,116.840,26.830,建宁县
1760,区域地图,,楷书,《沂水县图》,,,《沂州府志》,118.630,35.790,沂水县
